name,destination_id,latitude,longitude
"Nashville, Tennessee",0,36.162663,-86.7816
"Honolulu, Hawaii",1,21.309885,-157.85814
"Las Vegas, Nevada",2,36.171562,-115.1391
"New York, New York",3,40.712776,-74.005974
"Kansas City, Missouri",4,39.099728,-94.57857
"Houston, Texas",5,29.760427,-95.369804
"Boston, Massachusetts",6,42.36008,-71.05888
"New Orleans, Louisiana",7,29.951065,-90.07153
"Los Angeles, California",8,34.052235,-118.24368
"Virginia Beach, Virginia",9,36.851643,-75.97922
"Seattle, Washington",10,47.60621,-122.33207
"Portland, Oregon",11,45.515232,-122.67838
"Miami, Florida",12,25.76168,-80.19179
"Orlando, Florida",13,28.538383,-81.37893
"San Francisco, California",14,37.77493,-122.41942
"San Diego, California",15,32.715736,-117.16109
"Key West, Florida",16,24.555418,-81.78417
"Chicago, Illinois",17,41.878113,-87.6298
